,pdbx_caspflag,pdbx_descriptor,title,pdbx_keywords,text,paper_title,pdbx_model_details,pdbx_model_type_details,Hchain,Lchain,antigen_chain,antigen_type,antigen_name,short_header,date,compound,organism,heavy_species,light_species,antigen_species,authors,method,pmid
7MXP,N,,CRYO-EM STRUCTURE OF NTD-DIRECTED NEUTRALIZING ANTIBODY LP5 FAB IN COMPLEX WITH SARS-COV-2 S2P SPIKE,VIRAL PROTEIN/IMMUNE SYSTEM,"NETURALSING ANTIBODY, FUSION PROTEIN, SPIKE GLYCOPROTEIN, NRD, NTD-DIRECTED ANTIBODY, LP5, VIRAL PROTEIN, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",CRYO-EM STRUCTURE OF NTD-DIRECTED NEUTRALIZING ANTIBODY LP5 FAB IN COMPLEX WITH SARS-COV-2 S2P SPIKE,,,H,L,C,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,05/25/22,CRYO-EM STRUCTURE OF NTD-DIRECTED NEUTRALIZING ANTIBODY LP5 FAB IN COMPLEX WITH SARS-COV-2 S2P SPIKE,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"REDDEM, E.R., CASNER, R.G., SHAPIRO, L.",ELECTRON MICROSCOPY,NONE
7KZA,N,"FAB FRAGMENT HEAVY CHAIN OF ANTI-COV2-RBD ANTIBODY VARIANT CR3022-B6, FAB FRAGMENT LIGHT CHAIN OF ANTI-COV2-RBD ANTIBODY VARIANT CR3022-B6",POTENT SARS-COV-2 BINDING AND NEUTRALIZATION THROUGH MATURATION OF ICONIC SARS-COV-1ANTIBODIES,IMMUNE SYSTEM,"COVID19, SARS-COV2, ANTIBODY, ANTIVIRAL PROTEIN, IMMUNE SYSTEM",POTENT SARS-COV-2 BINDING AND NEUTRALIZATION THROUGH MATURATION OF ICONIC SARS-COV-1 ANTIBODIES.,,,H,L,,,,IMMUNE SYSTEM,02/24/21,POTENT SARS-COV-2 BINDING AND NEUTRALIZATION THROUGH MATURATION OF ICONIC SARS-COV-1ANTIBODIES,HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,,"LANGLEY, D.B., CHRIST, D.",X-RAY DIFFRACTION,NONE
7V6N,N,,MERS S ECTODOMAIN TRIMER IN COMPLEX WITH NEUTRALIZING ANTIBODY 111 STATE1,PROTEIN BINDING,"MERS SPIKE ANTIBODY, PROTEIN BINDING",MERS S ECTODOMAIN TRIMER IN COMPLEX WITH NEUTRALIZING ANTIBODY 111 STATE1,,,I,H,C,PROTEIN,SPIKE GLYCOPROTEIN,PROTEIN BINDING,09/14/22,MERS S ECTODOMAIN TRIMER IN COMPLEX WITH NEUTRALIZING ANTIBODY 111 STATE1,HOMO SAPIENS; HUMAN BETACORONAVIRUS 2C EMC/2012,HOMO SAPIENS,HOMO SAPIENS,HUMAN BETACORONAVIRUS 2C EMC/2012,"WANG, X., ZHAO, J., WANG, Z., ZENG, J., ZHANG, S., WANG, Y.",ELECTRON MICROSCOPY,NONE
7KS9,N,SPIKE GLYCOPROTEIN,CRYO-EM STRUCTURE OF PREFUSION SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH 910-30 FAB,VIRAL PROTEIN/IMMUNE SYSTEM,"NEUTRALIZING ANTIBODY, FUSION PROTEIN, SPIKE GLYCOPROTEIN, COVID-19, RBD, VIRAL PROTEIN, IMMUNE SYSTEM, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",PAIRED HEAVY AND LIGHT CHAIN SIGNATURES CONTRIBUTE TO POTENT SARS-COV-2 NEUTRALIZATION IN PUBLIC ANTIBODY RESPONSES.,,,H,L,B,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,02/10/21,CRYO-EM STRUCTURE OF PREFUSION SARS-COV-2 SPIKE GLYCOPROTEIN IN COMPLEX WITH 910-30 FAB,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"CERUTTI, G., SHAPIRO, L.",ELECTRON MICROSCOPY,NONE
6VL8,N,"6-3 FAB HEAVY CHAIN, 6-3 FAB LIGHT CHAIN",ANTI-PEG ANTIBODY 6-3 FAB FRAGMENT IN COMPLEX WITH PEG,IMMUNE SYSTEM,"ANTIBODY, FAB, PEG, ANTI-PEG, POLYMER, ANTI-DRUG, IMMUNE SYSTEM",STRUCTURE OF AN ANTI-PEG ANTIBODY REVEALS AN OPEN RING THAT CAPTURES HIGHLY FLEXIBLE PEG POLYMERS,,,E,F,E,HAPTEN,"2,5,8,11,14,17,20,23,26,29,32,35,38,41,44,47,50,53,56,59,62,65,68,71,74,77,80-HEPTACOSAOXADOOCTACONTAN-82-OL",IMMUNE SYSTEM,01/23/20,ANTI-PEG ANTIBODY 6-3 FAB FRAGMENT IN COMPLEX WITH PEG,MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,"NICELY, N.I., HUCKABY, J.T., LAI, S.K., JACOBS, T.M.",X-RAY DIFFRACTION,NONE
7N9A,N,,POTENT NEUTRALIZING NANOBODIES RESIST CONVERGENT CIRCULATING VARIANTS OF SARS-COV-2 BY TARGETING NOVEL AND CONSERVED EPITOPES-COVS RBD WITH NB21,VIRAL PROTEIN/IMMUNE SYSTEM,"COVS NB21 NANOBODY, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",POTENT NEUTRALIZING NANOBODIES RESIST CONVERGENT CIRCULATING VARIANTS OF SARS-COV-2 BY TARGETING NOVEL AND CONSERVED EPITOPES,,,A,,E,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,08/04/21,POTENT NEUTRALIZING NANOBODIES RESIST CONVERGENT CIRCULATING VARIANTS OF SARS-COV-2 BY TARGETING NOVEL AND CONSERVED EPITOPES-COVS RBD WITH NB21,LAMA GLAMA; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,LAMA GLAMA,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"SUN, D., ZHANG, C., SHI, Y.",ELECTRON MICROSCOPY,NONE
3BGF,,"SPIKE PROTEIN S1, F26G19 FAB",X-RAY CRYSTAL STRUCTURE OF THE SARS CORONAVIRUS SPIKE RECEPTOR BINDING DOMAIN IN COMPLEX WITH F26G19 FAB,VIRAL PROTEIN/IMMUNE SYSTEM,"ANTIGEN-ANTIBODY COMPLEX, ENVELOPE PROTEIN, GLYCOPROTEIN, HOST-VIRUS INTERACTION, MEMBRANE, TRANSMEMBRANE, VIRION, VIRULENCE, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",STRUCTURAL INSIGHTS INTO IMMUNE RECOGNITION OF THE SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS S PROTEIN RECEPTOR BINDING DOMAIN.,,,H,L,S,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,11/26/07,X-RAY CRYSTAL STRUCTURE OF THE SARS CORONAVIRUS SPIKE RECEPTOR BINDING DOMAIN IN COMPLEX WITH F26G19 FAB,SARS CORONAVIRUS; MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,SARS CORONAVIRUS,"PAK, J.E., RINI, J.M.",X-RAY DIFFRACTION,19324051
7WD0,N,,SARS-COV-2 BETA SPIKE IN COMPLEX WITH TWO S5D2 FABS,VIRAL PROTEIN,"CORONAVIRUS, BETA VARIANT, B.1.351 LINEAGE, SPIKE PROTEIN, VIRAL PROTEIN",MAPPING CROSS-VARIANT NEUTRALIZING SITES ON THE SARS-COV-2 SPIKE PROTEIN.,,,C,D,B,PROTEIN,LIGHT CHAIN OF S5D2 FAB,VIRAL PROTEIN,02/02/22,SARS-COV-2 BETA SPIKE IN COMPLEX WITH TWO S5D2 FABS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"WANG, Y.F., CONG, Y.",ELECTRON MICROSCOPY,NONE
7LX5,N,"SPIKE GLYCOPROTEIN, WNB 2, WNB 10",THE SARS-COV-2 SPIKE PROTEIN RECEPTOR BINDING DOMAIN BOUND TO NEUTRALIZING NANOBODIES WNB 2 AND WNB 10,VIRAL PROTEIN,"SARS-COV-2, NANOBODY COCKTAIL, CORONAVIRUS SPIKE, NEUTRALIZING NANOBODY, VIRAL PROTEIN",NANOBODY COCKTAILS POTENTLY NEUTRALIZE SARS-COV-2 D614G N501Y VARIANT AND PROTECT MICE.,,,C,,B,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,05/05/21,THE SARS-COV-2 SPIKE PROTEIN RECEPTOR BINDING DOMAIN BOUND TO NEUTRALIZING NANOBODIES WNB 2 AND WNB 10,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS,VICUGNA PACOS,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"PYMM, P., GLUKHOVA, A., THAM, W.-H.",ELECTRON MICROSCOPY,NONE
7E8F,N,"SPIKE GLYCOPROTEIN, N9 H, N9 L, 368-2 H, 368-2 L, 604 H, 604 L, SPIKE PROTEIN S1",SARS-COV-2 NTD IN COMPLEX WITH N9 FAB,VIRAL PROTEIN,"SARS-COV-2, COMPLEX, ANTIBODY, VIRAL PROTEIN",HUMORAL IMMUNE RESPONSE TO CIRCULATING SARS-COV-2 VARIANTS ELICITED BY INACTIVATED AND RBD-SUBUNIT VACCINES.,,,C,B,R,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,06/09/21,SARS-COV-2 NTD IN COMPLEX WITH N9 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"DU, S., XIAO, J., ZHANG, Z.",ELECTRON MICROSCOPY,NONE
7N3I,N,,CRYSTAL STRUCTURE OF THE SARS-COV-2 RECEPTOR BINDING DOMAIN IN COMPLEX WITH THE HUMAN NEUTRALIZING ANTIBODY FAB FRAGMENT C098,IMMUNE SYSTEM/VIRAL PROTEIN,"SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS-2, SPIKE PROTEIN, NEUTRALIZING ANTIBODIES, IMMUNE SYSTEM, IMMUNE SYSTEM-VIRAL PROTEIN COMPLEX","AFFINITY MATURATION OF SARS-COV-2 NEUTRALIZING ANTIBODIES CONFERS POTENCY, BREADTH, AND RESILIENCE TO VIRAL ESCAPE MUTATIONS.",,,H,L,C,PROTEIN,SPIKE PROTEIN S1,IMMUNE SYSTEM/VIRAL PROTEIN,08/04/21,CRYSTAL STRUCTURE OF THE SARS-COV-2 RECEPTOR BINDING DOMAIN IN COMPLEX WITH THE HUMAN NEUTRALIZING ANTIBODY FAB FRAGMENT C098,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"FLYAK, A.I., BJORKMAN, P.J., BARNES, C.O.",X-RAY DIFFRACTION,NONE
7ENF,N,,CRYO-EM STRUCTURE OF THE SARS-COV-2 S-6P IN COMPLEX WITH FAB30,VIRAL PROTEIN,"VIRAL PROTEIN, IMMUNE SYSTEM",A POTENT HUMAN MONOCLONAL ANTIBODY WITH PAN-NEUTRALIZING ACTIVITIES DIRECTLY DISLOCATES S TRIMER OF SARS-COV-2 THROUGH BINDING BOTH UP AND DOWN FORMS OF RBD,,,P,O,B,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,04/06/22,CRYO-EM STRUCTURE OF THE SARS-COV-2 S-6P IN COMPLEX WITH FAB30,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"WANG, X.F., ZHU, Y.Q.",ELECTRON MICROSCOPY,NONE
6VL9,N,"6-3 FAB HEAVY CHAIN, 6-3 FAB LIGHT CHAIN",ANTI-PEG ANTIBODY 6-3 FAB FRAGMENT IN COMPLEX WITH PEG,IMMUNE SYSTEM,"ANTIBODY, FAB, PEG, ANTI-PEG, POLYMER, ANTI-DRUG, IMMUNE SYSTEM",STRUCTURE OF AN ANTI-PEG ANTIBODY REVEALS AN OPEN RING THAT CAPTURES HIGHLY FLEXIBLE PEG POLYMERS,,,A,B,,,,IMMUNE SYSTEM,01/23/20,ANTI-PEG ANTIBODY 6-3 FAB FRAGMENT IN COMPLEX WITH PEG,MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,,"NICELY, N.I., HUCKABY, J.T., LAI, S.K., JACOBS, T.M.",X-RAY DIFFRACTION,NONE
7M7B,N,"SPIKE GLYCOPROTEIN, ANTIBODY FAB 3D11 HEAVY CHAIN, ANTIBODY FAB 3D11 LIGHT CHAIN",SARS-COV-2 SPIKE:FAB 3D11 COMPLEX FOCUSED REFINEMENT,VIRAL PROTEIN,"SARS-COV-2, SPIKE, ANTIBODY, FAB, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX, VIRAL PROTEIN",STRUCTURAL INSIGHT INTO SARS-COV-2 NEUTRALIZING ANTIBODIES AND MODULATION OF SYNCYTIA.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,05/26/21,SARS-COV-2 SPIKE:FAB 3D11 COMPLEX FOCUSED REFINEMENT,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ASARNOW, D., CHENG, Y.",ELECTRON MICROSCOPY,NONE
7LQ7,N,,CRYSTAL STRUCTURE OF SARS-COV-2 RECEPTOR BINDING DOMAIN IN COMPLEX WITH ANTIBODIES CV503 AND COVA1-16,IMMUNE SYSTEM,"ANTIBODY, CORONAVIRUS, FAB, SPIKE, COVID-19, RBD, RECEPTOR BINDING DOMAIN, IMMUNE SYSTEM",BISPECIFIC ANTIBODIES TARGETING DISTINCT REGIONS OF THE SPIKE PROTEIN POTENTLY NEUTRALIZE SARS-COV-2 VARIANTS OF CONCERN.,,,H,L,A,PROTEIN,SPIKE PROTEIN S1,IMMUNE SYSTEM,09/15/21,CRYSTAL STRUCTURE OF SARS-COV-2 RECEPTOR BINDING DOMAIN IN COMPLEX WITH ANTIBODIES CV503 AND COVA1-16,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"YUAN, M., ZHU, X., WILSON, I.A.",X-RAY DIFFRACTION,NONE
7WPE,N,,SARS-COV-2 OMICRON VARIANT S TRIMER COMPLEXED WITH TWO JMB2002 FAB,VIRAL PROTEIN,"SARS-COV-2, OMICRON, S, TRIMER, ANTIBODY, VIRAL PROTEIN",STRUCTURES OF THE OMICRON SPIKE TRIMER WITH ACE2 AND AN ANTI-OMICRON ANTIBODY.,,,X,Y,B,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,03/23/22,SARS-COV-2 OMICRON VARIANT S TRIMER COMPLEXED WITH TWO JMB2002 FAB,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS; LAMA GLAMA,MUS MUSCULUS,MUS MUSCULUS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"YIN, W., XU, Y., XU, P., CAO, X., WU, C., GU, C., HE, X., WANG, X., HUANG, S., YUAN, Q., WU, K., HU, W., HUANG, Z., LIU, J., WANG, Z., JIA, F., XIA, K., LIU, P., WANG, X., SONG, B., ZHENG, J., JIANG, H., CHENG, X., JIANG, Y., DENG, S.J., XU, H.E.",ELECTRON MICROSCOPY,NONE
7K8W,N,"SPIKE GLYCOPROTEIN, C119 FAB LIGHT CHAIN, C119 FAB HEAVY CHAIN","STRUCTURE OF THE SARS-COV-2 S 2P TRIMER IN COMPLEX WITH THE HUMAN NEUTRALIZING ANTIBODY FAB FRAGMENT, C119",VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, SPIKE GLYCOPROTEIN, COVID-19, MONOCLONAL ANTIBODY, NEUTRALIZING ANTIBODY, PROTEIN-IMMUNE SYSTEM COMPLEX, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",SARS-COV-2 NEUTRALIZING ANTIBODY STRUCTURES INFORM THERAPEUTIC STRATEGIES.,,,N,S,G,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,09/27/20,"STRUCTURE OF THE SARS-COV-2 S 2P TRIMER IN COMPLEX WITH THE HUMAN NEUTRALIZING ANTIBODY FAB FRAGMENT, C119",SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"SHARAF, N.G., BARNES, C.O., BJORKMAN, P.J.",ELECTRON MICROSCOPY,NONE
7DJZ,N,,CRYSTAL STRUCTURE OF SARS-COV-2 SPIKE RBD IN COMPLEX WITH MW01 FAB,IMMUNE SYSTEM/VIRAL PROTEIN,"SARS-COV-2, SPIKE, RBD, ANTIBODY, ADE, VIRUS, IMMUNE SYSTEM-VIRAL PROTEIN COMPLEX",ANTIBODY-DEPENDENT ENHANCEMENT (ADE) OF SARS-COV-2 PSEUDOVIRAL INFECTION REQUIRES FC GAMMA RIIB AND VIRUS-ANTIBODY COMPLEX WITH BIVALENT INTERACTION.,,,A,B,C,PROTEIN,SPIKE PROTEIN S1,IMMUNE SYSTEM/VIRAL PROTEIN,06/09/21,CRYSTAL STRUCTURE OF SARS-COV-2 SPIKE RBD IN COMPLEX WITH MW01 FAB,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"WANG, J., JIAO, S., WANG, R., ZHANG, J., ZHANG, M., WANG, M.",X-RAY DIFFRACTION,NONE
7T3M,N,,"SARS-COV-2 S (SPIKE GLYCOPROTEIN) D614G WITH THREE (3) RBDS UP, BOUND TO ANTIBODY 2-7 SCFV, COMPOSITE MAP",VIRAL PROTEIN/IMMUNE SYSTEM,"VIRUS, CORONAVIRUS, SARS COV-2, SARS-COV-2, SPIKE, 2-7, D614G, RBD, 3 RBDS UP, THREE RBDS UP, SCFV, COMPLEX, PHAGE DISPLAY, VIRAL PROTEIN, LOCAL REFINEMENT, FOCUSED REFINEMENT, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX","SARS COV-2 S (SPIKE GLYCOPROTEIN) D614G WITH THREE (3) RBDS UP, BOUND TO ANTIBODY 2-7 SCFV",,,I,K,C,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,08/24/22,"SARS-COV-2 S (SPIKE GLYCOPROTEIN) D614G WITH THREE (3) RBDS UP, BOUND TO ANTIBODY 2-7 SCFV, COMPOSITE MAP",ESCHERICHIA COLI; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,,,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"BYRNE, P.O., MCLELLAN, J.S.",ELECTRON MICROSCOPY,NONE
8DLW,N,,CRYO-EM STRUCTURE OF SARS-COV-2 EPSILON (B.1.429) SPIKE PROTEIN IN COMPLEX WITH FAB S2M11,VIRAL PROTEIN,"SARS-COV-2, GLYCOPROTEIN, FUSION PROTEIN, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX, EPSILON, B.1.429, S2M11",SARS-COV-2 VARIANTS OF CONCERN: SPIKE PROTEIN MUTATIONAL ANALYSIS AND EPITOPE FOR BROAD NEUTRALIZATION.,,,H,L,A,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN,08/31/22,CRYO-EM STRUCTURE OF SARS-COV-2 EPSILON (B.1.429) SPIKE PROTEIN IN COMPLEX WITH FAB S2M11,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHU, X., MANNAR, D., SAVILLE, J.W., SRIVASTAVA, S.S., BEREZUK, A.M., ZHOU, S., TUTTLE, K.S., SUBRAMANIAM, S.",ELECTRON MICROSCOPY,NONE
7WON,N,,CRYO-EM STRUCTURE OF SARS-COV-2 S2P TRIMER IN COMPLEX WITH NEUTRALIZING ANTIBODY VACW-209 (LOCAL REFINEMENT),VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, SPIKE, NEUTRALIZING ANTIBODY, CRYO-EM, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",IMMUNE ESCAPE BY SARS-COV-2 OMICRON VARIANT AND STRUCTURAL BASIS OF ITS EFFECTIVE NEUTRALIZATION BY A BROAD NEUTRALIZING HUMAN ANTIBODY VACW-209.,,,H,L,F,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN/IMMUNE SYSTEM,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 S2P TRIMER IN COMPLEX WITH NEUTRALIZING ANTIBODY VACW-209 (LOCAL REFINEMENT),HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHENG, Q., SUN, H., JU, B., ZHANG, Z., LI, S., XIA, N.",ELECTRON MICROSCOPY,NONE
7MZN,N,,SARS-COV-2 RECEPTOR BINDING DOMAIN BOUND TO FAB PDI 231,VIRAL PROTEIN,"SARS-COV-2, SPIKE, RBD, HUMAN ANTIBODY, VIRAL PROTEIN",LANDSCAPE OF HUMAN ANTIBODY RECOGNITION OF THE SARS-COV-2 RECEPTOR BINDING DOMAIN.,,,H,L,A,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,10/06/21,SARS-COV-2 RECEPTOR BINDING DOMAIN BOUND TO FAB PDI 231,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"PYMM, P., TAN, L.L., DIETRICH, M.H., CHAN, L.J., THAM, W.H.",X-RAY DIFFRACTION,NONE
7Q0I,N,,CRYSTAL STRUCTURE OF THE N-TERMINAL DOMAIN OF SARS-COV-2 BETA VARIANT SPIKE GLYCOPROTEIN IN COMPLEX WITH BETA-43,VIRAL PROTEIN,"SARS-COV-2 ALPHA VARIANT, BETA VARIANT, GAMMA VARIANT, DELTA VARIANT, B.1.1.7, B.1.351, P.1, B.1.617.2, ANTIBODY, N-TERMINAL DOMAIN, NTD, SPIKE, NEUTRALISATION, VIRAL PROTEIN/IMMUNE SYSTEM, VIRAL PROTEIN",THE ANTIBODY RESPONSE TO SARS-COV-2 BETA UNDERSCORES THE ANTIGENIC DISTANCE TO OTHER VARIANTS.,,,H,L,C,PROTEIN,SPIKE PROTEIN S1,VIRAL PROTEIN,12/22/21,CRYSTAL STRUCTURE OF THE N-TERMINAL DOMAIN OF SARS-COV-2 BETA VARIANT SPIKE GLYCOPROTEIN IN COMPLEX WITH BETA-43,HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"ZHOU, D., REN, J., STUART, D.I.",X-RAY DIFFRACTION,NONE
6XEY,N,"SARS-COV-2 SPIKE GLYCOPROTEIN, 2-4 HEAVY CHAIN, 2-4 LIGHT CHAIN",CRYO-EM STRUCTURE OF THE SARS-COV-2 SPIKE GLYCOPROTEIN BOUND TO FAB 2-4,VIRAL PROTEIN/IMMUNE SYSTEM,"SPIKE, GLYCOPROTEIN, ANTIBODY, VIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",POTENT NEUTRALIZING ANTIBODIES AGAINST MULTIPLE EPITOPES ON SARS-COV-2 SPIKE.,,,F,G,B,PROTEIN,SARS-COV-2 SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,06/14/20,CRYO-EM STRUCTURE OF THE SARS-COV-2 SPIKE GLYCOPROTEIN BOUND TO FAB 2-4,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"RAPP, M., SHAPIRO, L., HO, D.D.",ELECTRON MICROSCOPY,NONE
7DK5,N,"THE HEAVY CHAIN OF 3C1 FAB THAT BINDS WITH THE UP RBD, SPIKE GLYCOPROTEIN, THE LIGHT CHAIN OF 3C1 FAB","S-2H2-F1 STRUCTURE, ONE RBD IS UP AND TWO RBDS ARE DOWN, ONLY UP RBD BINDS WITH A 2H2 FAB",VIRAL PROTEIN,VIRAL PROTEIN,DEVELOPMENT AND STRUCTURAL BASIS OF A TWO-MAB COCKTAIL FOR TREATING SARS-COV-2 INFECTIONS.,,,A,B,A,PROTEIN,THE HEAVY CHAIN OF 2H2 FAB,VIRAL PROTEIN,11/23/20,"S-2H2-F1 STRUCTURE, ONE RBD IS UP AND TWO RBDS ARE DOWN, ONLY UP RBD BINDS WITH A 2H2 FAB",SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; MUS MUSCULUS,MUS MUSCULUS,MUS MUSCULUS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"CONG, Y., WANG, Y.F.",ELECTRON MICROSCOPY,NONE
7RKV,N,,STRUCTURE OF THE SARS-COV-2 S 6P TRIMER IN COMPLEX WITH NEUTRALIZING ANTIBODY C118 (STATE 1),VIRAL PROTEIN/IMMUNE SYSTEM,"SARS-COV-2, BROADLY NEUTRALIZING, CORONAVIRUS, ANTIBODY, VIRUS, ANTIVIRAL PROTEIN, VIRAL PROTEIN-IMMUNE SYSTEM COMPLEX",BROAD CROSS-REACTIVITY ACROSS SARBECOVIRUSES EXHIBITED BY A SUBSET OF COVID-19 DONOR-DERIVED NEUTRALIZING ANTIBODIES.,,,D,H,B,PROTEIN,SPIKE GLYCOPROTEIN,VIRAL PROTEIN/IMMUNE SYSTEM,09/22/21,STRUCTURE OF THE SARS-COV-2 S 6P TRIMER IN COMPLEX WITH NEUTRALIZING ANTIBODY C118 (STATE 1),SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS,HOMO SAPIENS,HOMO SAPIENS,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS2 ,"BARNES, C.O., JETTE, C.A., BJORKMAN, P.J.",ELECTRON MICROSCOPY,NONE
